zotero_key,item_type,year,first_author,authors,title,journal,doi,url,work_id,is_seed,match,status
KGR9DZXN,journalArticle,2020,van Wijk,van Wijk; Van Wijk; Pang; Yang; Yan; Han; Burgos; Sanchez,Integrating Ultra-Weak Photon Emission Analysis in Mitochondrial Research,Frontiers in Physiology,10.3389/fphys.2020.00717,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2020.00717/full,W3041755811,0,doi,harvested
4AB78ZRC,journalArticle,2008,Wijk,Wijk; Bosman; Ackerman,Correlation Between Fluctuations in Human Ultra-weak Photon Emission and EEG Alpha Rhythm,NeuroQuant ology,10.14704/nq.2008.6.4.s201,https://doi.org/10.14704/nq.2008.6.4.s201,W2035748855,0,title~100,in-universe
HJTDE6WX,conferencePaper,2025,Viirre,Viirre; Melville; Chan; Cook; Tian; Iii,Resting state photon emissions from the pupil of the human eye,,10.1117/12.3051754,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/13317/1331707/Resting-state-photon-emissions-from-the-pupil-of-the-human/10.1117/12.3051754.full,W4408665037,0,doi,in-universe
SKNKGWET,journalArticle,2024,Rubio,Rubio; Haneen Issmer; Barbaro; Montalvo; Ortega-Ojeda; García-Ruiz,Effects of different light exposures on human ultra-weak photon emission: Preliminary findings for a pioneering control tool in cosmetics,Microchemical Journal,10.1016/j.microc.2024.111351,https://www.sciencedirect.com/science/article/pii/S0026265X24014632,W4401282046,1,doi,harvested
WSEINL6C,journalArticle,2023,Wang,Wang; Xu; Luo; Peng; Song; Li; Zheng; Liu; Wu; Zhang; Zhang; Hu; Liu; Lu; Dai; Zhang,Reduced biophotonic activities and spectral blueshift in Alzheimer’s disease and vascular dementia models with cognitive impairment,Frontiers in Aging Neuroscience,10.3389/fnagi.2023.1208274,https://www.frontiersin.org/articles/10.3389/fnagi.2023.1208274,W4386377286,1,doi,harvested
8SIYBSRW,journalArticle,2021,Zapata,Zapata; Pastor-Ruiz; Ortega-Ojeda; Montalvo; García-Ruiz,Increment of spontaneous human biophoton emission caused by anger emotional states. Proof of concept,Microchemical Journal,10.1016/j.microc.2021.106558,https://www.sciencedirect.com/science/article/pii/S0026265X21006445,W3174216096,1,doi,harvested
W6T7SDL8,journalArticle,2019,Tsuchida,Tsuchida; Iwasa; Kobayashi,Imaging of ultraweak photon emission for evaluating the oxidative stress of human skin,Journal of Photochemistry and Photobiology B: Biology,10.1016/j.jphotobiol.2019.111562,https://linkinghub.elsevier.com/retrieve/pii/S1011134419302982,W2958430166,1,doi,in-universe
RSDNFIJU,journalArticle,2018,Scholkmann,Scholkmann; van de Kraats; van Wijk; van Wijk; van der Greef,"Spatio-temporal dynamics of spontaneous ultra-weak photon emission (autoluminescence) from human hands measured with an EMCCD camera: Dependence on time of day, date and individual subject",Matters,10.19185/matters.201803000001,https://sciencematters.io/articles/10.19185/matters.201803000001,W2789646385,1,doi,in-universe
CHKH9QFB,journalArticle,2017,Sun,Sun; Van Wijk; Koval; Van Wijk; He; Wang; Hankemeier; van der Greef,Measuring ultra-weak photon emission as a non-invasive diagnostic tool for detecting early-stage type 2 diabetes: A step toward personalized medicine,Journal of Photochemistry and Photobiology B: Biology,10.1016/j.jphotobiol.2016.11.013,https://www.sciencedirect.com/science/article/pii/S1011134416306364,W2554446151,1,doi,in-universe
VJS6RHWP,journalArticle,2021,Zapata,Zapata; Pastor-Ruiz; Ortega-Ojeda; Montalvo; Ruiz-Zolle; García-Ruiz,Human ultra-weak photon emission as non-invasive spectroscopic tool for diagnosis of internal states – A review,Journal of Photochemistry and Photobiology B: Biology,10.1016/j.jphotobiol.2021.112141,https://www.sciencedirect.com/science/article/pii/S1011134421000191,W3126963047,1,doi,harvested
SDWBKACV,journalArticle,2018,Prasad,Prasad; Balukova; Pospíšil,Triplet Excited Carbonyls and Singlet Oxygen Formation During Oxidative Radical Reaction in Skin,Frontiers in Physiology,10.3389/fphys.2018.01109,https://doi.org/10.3389/fphys.2018.01109,W2886211841,1,doi,harvested
VVFG6PA5,journalArticle,2008,Van Wijk,Van Wijk; Van Wijk,Free radicals and low-level photon emission in human pathogenesis: State of the art,Indian Journal of Experimental Biology,,https://www.scopus.com/pages/publications/50649099701,W163007605,1,title~100,in-universe
MAPWIJ5Y,journalArticle,2011,Dotta,Dotta; Buckner; Lafrenie; Persinger,Photon emissions from human brain and cell culture exposed to distally rotating magnetic fields shared by separate light-stimulated brains and cells,Brain Research,10.1016/j.brainres.2011.03.001,http://linkinghub.elsevier.com/retrieve/pii/S0006899311004732,W1981251228,1,doi,in-universe
ZCP4YJBF,journalArticle,1999,Kobayashi,Kobayashi; Takeda; Sato; Yamazaki; Kaneko; Ito; Kato; Inaba,In vivo imaging of spontaneous ultraweak photon emission from a rat’s brain correlated with cerebral energy metabolism and oxidative stress,Neuroscience research,10.1016/s0168-0102(99)00040-1,http://www.sciencedirect.com/science/article/pii/S0168010299000401,W2160984073,1,doi,in-universe
D69XCH68,journalArticle,2004,Takeda,Takeda; Kobayashi; Takayama; Suzuki; Ishida; Ohnuki; Moriya; Ohuchi,Biophoton detection as a novel technique for cancer imaging,Cancer science,10.1111/j.1349-7006.2004.tb03325.x,http://onlinelibrary.wiley.com/doi/10.1111/j.1349-7006.2004.tb03325.x/full,W2009372666,1,doi,harvested
HVCJY67J,journalArticle,2008,Khabiri,Khabiri; Hagens; Smuda; Soltau; Schreiner; Wenck; Wittern; Duchstein; Mei,Non-invasive monitoring of oxidative skin stress by ultraweak photon emission (UPE)-measurement. I: mechanisms of UPE of biological materials,Skin Research and Technology,,,W2159034785,1,title~100,in-universe
NH5KJ4XK,journalArticle,1997,Cohen,Cohen; Popp,Biophoton emission of the human body,Journal of Photochemistry and Photobiology B: Biology,,,W1970126617,1,title~100,in-universe
TKDZ94S4,journalArticle,1997,Cohen,Cohen; Popp,Low-level luminescence of the human skin,Skin Research and Technology,,,W2124535387,1,title~100,in-universe
L7GFEMSJ,journalArticle,1997,Maccarrone,Maccarrone; Rosato; Agró,Lipoxygenase products induce ultraweak light emission from human erythroleukemia cells,Journal of bioluminescence and chemiluminescence,,,W1979182633,1,title~100,in-universe
EBV6NF29,journalArticle,2013,Van Wijk,Van Wijk; Van Wijk; Schroen; Van der Greef,"Imaging human spontaneous photon emission: historic development, recent data and perspectives",Trends Photochem. Photobiol,,,,0,,new-to-universe
FLQ3MPSK,journalArticle,2004,Yang,Yang; Lee; Yi; Yang; Soh,Biophoton Emission and Blood Flow in the Human Hand (International Conference on Mind Body Science: Physical and Physiological Approach joint with The Eighteenth Symposium on Life Information Science),Journal of International Society of Life Information Science,,,,0,,new-to-universe
CURTTT69,journalArticle,2000,Nakamura,Nakamura; Kokubo; Parkhomtchouk; Chen; Tanaka; Zhang; Kokado; Yamamoto; Fukuda,Biophoton and temperature changes of human hand during Qigong,Journal of International Society of Life Information Science,,,,0,,new-to-universe
JQV6HWYB,journalArticle,2002,Kim,Kim; Nam; Shin; Lee; Yang; Soh,Biophoton emission from fingernails and fingerprints of living human subjects,Acupuncture & electro-therapeutics research,,,W2399776156,1,title~100,in-universe
NZIC4N3B,conferencePaper,1997,Voeikov,Voeikov; Novikov,Relative independence of luminol-enhanced intensity of photon emission during oxidative burst from nondiluted human blood on the volume and surface area of the sample,,,,W2085889358,1,title~93,in-universe
MJLMHW4K,conferencePaper,2005,Jung,Jung; Yang; Woo; Yi; Yang; Soh,Signal characteristics of biophoton emission from human hands,,,,W1988321029,1,title~100,in-universe
73WUEFTU,journalArticle,2007,Goi,Goi; Takagi; Hirai; Harada; Ikari; Terashima; Kinae; Hiramatsu; Nakamura; Ono,Effect of psychologic stress on peroxidase and thiocyanate levels in human saliva detected by ultraweak chemiluminescence,Journal of health science,,,W2110422479,1,title~100,harvested
8M6SZIIL,journalArticle,2014,Scordino,Scordino; Baran; Gulino; Ganea; Grasso; Niggli; Musumeci,Ultra-weak Delayed Luminescence in cancer research: A review of the results by the ARETUSA equipment,Journal of Photochemistry and Photobiology B: Biology,10.1016/j.jphotobiol.2014.03.027,http://linkinghub.elsevier.com/retrieve/pii/S1011134414001481,W1975672463,1,doi,in-universe
3C87AAPN,journalArticle,1999,Maccarrone,Maccarrone; Salucci; Melino; Rosato; Finazzi-Agro,The early phase of apoptosis in human neuroblastoma CHP100 cells is characterized by lipoxygenase-dependent ultraweak light emission,Biochemical and biophysical research communications,,,W2077287825,1,title~100,in-universe
BLXSKDU3,journalArticle,2006,Yang,Yang; Choi; Yu; Soh; Choi; Ryu,Yin/Yang polarization: quantitative diagnostic evaluation using biophoton measurement from human hands and feet,Journal of Alternative & Complementary Medicine,,http://online.liebertpub.com/doi/pdf/10.1089/acm.2006.12.603,,0,,new-to-universe
2IQLKAJ9,journalArticle,1999,Sauermann,Sauermann; Mei; Hoppe; Stäb,Ultraweak photon emission of human skin in vivo: influence of topically applied antioxidants on human skin,Methods in enzymology,,,W1490902292,1,title~100,in-universe
AQYYHKK9,journalArticle,1998,Maccarrone,Maccarrone; Fantini; Agrò; Rosato,Kinetics of ultraweak light emission from human erythroleukemia K562 cells upon electroporation,Biochimica et Biophysica Acta (BBA)-Biomembranes,,,W2001180198,1,title~100,in-universe
6I2HY9XT,book,2003,Popp,Popp; others,Nonlocal effects of biophoton emission from the human body,,,,,0,,new-to-universe
2ZV4TM96,journalArticle,1988,Scholz,Scholz; Staszkiewicz; Popp; Nagl,Light-stimulated ultraweak photon reemission of human amnion cells and wish cells,Cell Biophysics,,,W2059148895,1,title~100,in-universe
68CUIVWF,journalArticle,2021,Vahalová,Vahalová; Červinková; Cifra,Biological autoluminescence for assessing oxidative processes in yeast cell cultures,Scientific Reports,10.1038/s41598-021-89753-9,https://www.nature.com/articles/s41598-021-89753-9,W3164345057,1,doi,harvested
Z4UZMX79,journalArticle,2014,Cifra,Cifra; Pospíšil,"Ultra-weak photon emission from biological samples: Definition, mechanisms, properties, detection and applications",Journal of Photochemistry and Photobiology B: Biology,10.1016/j.jphotobiol.2014.02.009,https://www.sciencedirect.com/science/article/pii/S1011134414000463,W1995699286,1,doi,in-universe
4CZ4RSZE,conferencePaper,2015,Tománek,Tománek; Senderáková; Páta; Nerudová; Červinková; Hašek; Cifra,Optical spectral analysis of ultra-weak photon emission from tissue culture and yeast cells,,10.1117/12.2069897,http://proceedings.spiedigitallibrary.org/proceeding.aspx?doi=10.1117/12.2069897,W2118281009,0,doi,in-universe
2QFEFH3W,conferencePaper,2015,Červinková,Červinková; Nerudová; Hašek; Cifra; Tománek; Senderáková; Páta,Chemical modulation of the ultra-weak photon emission from Saccharomyces cerevisiae and differentiated HL-60 cells,,10.1117/12.2070424,,W2034096424,0,doi,in-universe
WYZU29J9,journalArticle,2021,Bereta,Bereta; Teplan; Chafai; Radil; Cifra,Biological autoluminescence as a noninvasive monitoring tool for chemical and physical modulation of oxidation in yeast cell culture,Scientific Reports,10.1038/s41598-020-79668-2,https://doi.org/10.1038/s41598-020-79668-2,W3121005468,0,doi,harvested
4E2692BE,journalArticle,2024,Bereta,Bereta; Teplan; Zakar; Vuviet; Cifra; Chafai,Biological autoluminescence enables effective monitoring of yeast cell electroporation,Biotechnology Journal,10.1002/biot.202300475,https://onlinelibrary.wiley.com/doi/abs/10.1002/biot.202300475,W4395043429,0,doi,in-universe
8HVY39GL,journalArticle,2023,Vahalová,Vahalová; Cifra,Biological autoluminescence as a perturbance-free method for monitoring oxidation in biosystems,Progress in Biophysics and Molecular Biology,10.1016/j.pbiomolbio.2022.10.009,https://doi.org/10.1016/j.pbiomolbio.2022.10.009,W4308366428,0,doi,in-universe
76S76636,journalArticle,2015,Cifra,Cifra; Pospíšil,Ultraslabá emise fotonů z biologických systémů: fyzikální podstata a potenciální aplikace,Čs. čas. fyz,,http://www.ufe.cz/sites/default/files/teams/bioelektrodynamika/2015-cifrapospisil-cscf-upe.pdf,,0,,new-to-universe
HCFPVMPQ,thesis,1998,Vogel,Vogel,About the Quenching of the Chemiluminescence from Liquid Culture Media by Microorganisms and Weak Light Emission Patterns from Bacterial Cultures,,,,,0,,new-to-universe
A9MG55PU,journalArticle,2024,Sefati,Sefati; Esmaeilpour; Salari; Zarifkar; Dehghani; Ghaffari; Zadeh-Haghighi; Császár; Bókkon; Rodrigues; Oblak,Monitoring Alzheimer's disease via ultraweak photon emission,iScience,10.1016/j.isci.2023.108744,,W4389719258,0,doi,harvested
XISNGS9M,journalArticle,1979,Allen,Allen,Chemiluminescence from Eukaryotic and Prokaryotic Cells: Reducing Potential and Oxygen Requirements,Photochemistry and Photobiology,10.1111/j.1751-1097.1979.tb07129.x,https://doi.org/10.1111/j.1751-1097.1979.tb07129.x,W1977299627,0,doi,in-universe
4QRZEGYR,journalArticle,1999,Vogel,Vogel; Süssmuth,Weak light emission patterns from lactic acid bacteria,Luminescence,10.1002/(sici)1522-7243(199903/04)14:2<99::aid-bio519>3.0.co;2-7,http://doi.wiley.com/10.1002/%28SICI%291522-7243%28199903/04%2914%3A2%3C99%3A%3AAID-BIO519%3E3.0.CO%3B2-7,W2018681923,0,doi,in-universe
EGM5WZPT,journalArticle,1998,Vogel,Vogel; Guo; Süssmuth,Chemiluminescence patterns from bacterial cultures undergoing bacteriophage induced mass lysis,Bioelectrochemistry and Bioenergetics,10.1016/s0302-4598(98)00123-8,http://linkinghub.elsevier.com/retrieve/pii/S0302459898001238,W2085695470,0,doi,in-universe
P3IHSFSD,journalArticle,1998,Vogel,Vogel; Süssmuth,Interaction of bacterial cells with weak light emission from culture media,Bioelectrochemistry and Bioenergetics,10.1016/s0302-4598(98)00067-1,http://linkinghub.elsevier.com/retrieve/pii/S0302459898000671,W2022045073,0,doi,in-universe
DSQWU2BP,journalArticle,1979,Shvinka,Shvinka; Toma; Gaļiņina; Skards; Viesturs,Production of Superoxide Radicals during Bacterial Respiration,Journal of General Microbiology,10.1099/00221287-113-2-377,https://doi.org/10.1099/00221287-113-2-377,,0,,new-to-universe
LMJANFGN,book,2014,Wijk,Wijk,Light in Shaping Life: Biophotons in Biology and Medicine,,,,,0,,new-to-universe
NGJ4CJ7W,book,2017,Wijk,Wijk,"Biophoton Technology in Energy and Vitality Diagnostics. A Multi-disciplinary, Systems biology, and Biotechnology Appraoch",,,,,0,,new-to-universe
9N8UNCTY,journalArticle,2005,Bennett,Bennett; Mehta; Grant,Biophoton Imaging: A Nondestructive Method for Assaying <i>R</i> Gene Responses,Molecular Plant-Microbe Interactions®,10.1094/mpmi-18-0095,https://apsjournals.apsnet.org/doi/10.1094/MPMI-18-0095,W2058931687,1,doi,in-universe
IWX36VHG,journalArticle,2021,Zhang,Zhang; Zheng; Yang; Wang; Zhao; Gu; Gao; Jiang; Liu; Tang,Quantum correlating measurements of human-body delayed luminescence and preliminary experimental results,OSA Continuum,10.1364/osac.412492,https://opg.optica.org/osac/abstract.cfm?uri=osac-4-2-455,W3114612921,1,doi,in-universe
G6G5KJ5L,journalArticle,2013,Caswell,Caswell; Dotta; Persinger,Cerebral Biophoton Emission as a Potential Factor in Non-Local Human-Machine Interaction,NeuroQuantology,10.14704/nq.2014.12.1.713,https://neuroquantology.com/article.php?id=1142,W2039915196,1,doi,in-universe
77QKWT8E,journalArticle,,Joines,Joines,ELECTROMAGNETIC EMISSION FROM HUMANS DURING FOCUSED INTENT,,,,,0,,new-to-universe
ZELNM4CV,journalArticle,2005,Lipkova,Lipkova; Cechak,Existence of Electromagnetic Radiation in Humans in ELF Band,PIERS Online,10.2529/piers041208101326,http://piers.mit.edu/piersonline/piers.php?year=2005&volume=1&number=2&page=227,W2134471956,1,doi,in-universe
GSZTYRZN,conferencePaper,2007,Van Wijk,Van Wijk; Hamblin; Waynant; Van Wijk; Anders,Studies on the mechanism for low-light effects utilizing color filters in the human ultra-weak photon emission field,,10.1117/12.698120,http://proceedings.spiedigitallibrary.org/proceeding.aspx?doi=10.1117/12.698120,W1967242810,1,doi,in-universe
8WGSYF2P,journalArticle,,Wijk,Wijk; Wijk; Wiegant; Ives,Research on Non-invasive Recording of Low-level Luminescence in ROS- related Human Pathogenesis: State of the Art.,,,,,0,,new-to-universe
6LQVSYAA,journalArticle,2005,Van Wijk,Van Wijk; Ackerman; Van Wijk,Color filters and human photon emission: Implications for auriculomedicine,EXPLORE,10.1016/j.explore.2004.12.003,https://linkinghub.elsevier.com/retrieve/pii/S1550830704000217,W1985124214,1,doi,in-universe
65H5HD49,journalArticle,2015,"Scientific Research Center of Medical Biophysics (SRC MB), Bulgaria","Scientific Research Center of Medical Biophysics (SRC MB), Bulgaria; Ignatov; Mosin; Niggli; Drossinakis; Tyminski; Moscow State University of Applied Biotechnology, Russian Federation; IAWG GmbH, IAWG GmbH, Frankfurt am Main, Germany; Europäische Wissenschaftliche Gesellschaft, Germany",Evaluation of Possible Methods and Approaches for Registering of Non-Ionizing Radiation Emitted from the Human Body,European Journal of Medicine,10.13187/ejm.2015.8.67,https://ejm.cherkasgu.press/journals_n/1435910098.pdf,W4245042809,1,doi,harvested
9TWBGBRJ,journalArticle,2005,Lipkova,Lipkova; Cechak,Human electromagnetic emission in the ELF band,MEASUREMENT SCIENCE REVIEW,,,W2309093958,1,title~100,in-universe
ZXMLC5D2,journalArticle,,Wijk,Wijk,THE SEARCH FOR A BIOSENSOR AS A WITNESS OF A HUMAN LAYING ON OF HANDS RITUAL,,,,W75581189,1,title~100,in-universe
P6CLS74R,journalArticle,,Zheng,Zheng; Zhang; Yip; Zheng; Yang,Preliminary Measurement of Electromagnetic Fields and Microdischarges From the Human Body,,,,W2337732432,1,title~100,in-universe
HRP47C4V,journalArticle,2011,Scholkmann,Scholkmann; Cifra; Moraes; de Mello Gallep,Using multifractal analysis of ultra-weak photon emission from germinating wheat seedlings to differentiate between two grades of intoxication with potassium dichromate,Journal of Physics: Conference Series,10.1088/1742-6596/329/1/012020,https://dx.doi.org/10.1088/1742-6596/329/1/012020,W2005972005,1,doi,harvested
GXMXJHJK,journalArticle,2025,Ghaffari,Ghaffari; Sefati; Esmaeilpour; Salari; Oblak; Simon,The impact of ketamine and thiopental anesthesia on ultraweak photon emission and oxidative-nitrosative stress in rat brains,Frontiers in Systems Neuroscience,10.3389/fnsys.2025.1502589,https://www.frontiersin.org/journals/systems-neuroscience/articles/10.3389/fnsys.2025.1502589/full,W4408688794,1,doi,harvested
ZRYQUEFN,journalArticle,2020,Govardovskii,Govardovskii,Biophotons and visual phenomena,Rossiĭskii fiziologicheskiĭ zhurnal imeni I.M. Sechenova / Rossiĭskaia akademiia nauk,10.31857/s0869813920080117,,W3081149054,1,doi,in-universe
UFTEZ6EY,journalArticle,2016,Footitt,Footitt; Palleschi; Fazio; Palomba; Finch-Savage; Silvestroni,Ultra-weak Photon Emission from the Seed Coat in Response to Temperature and Humidity - A Potential Mechanism for Environmental Signal Transduction in the Soil Seed Bank,Photochemistry and photobiology,10.1111/php.12616,,W2473666161,1,doi,harvested
TRDCZ7FL,journalArticle,2001,Haraguchi,Haraguchi; Kotake; Chen; Parkhomtchouk; Zhang; Yamamoto,Biophoton Change by Mental Concentration,Journal of International Society of Life Information Science,10.18936/islis.19.2_373,,W2593540927,1,title~100,in-universe
X87T4IUP,preprint,2025,Kovács,Kovács; Berke; Nagy; Gulyás; Hersics; Várnagy; Kovács,Ultra-Weak Photon Emission: From Oxidative Metabolism to DNA -Based Communication Towards the New Quantum Biology?,,10.20944/preprints202511.0381.v1,https://www.preprints.org/manuscript/202511.0381,W4415948863,1,doi,in-universe
AHPVCT2F,journalArticle,2003,Popp,Popp,Properties of biophotons and their theoretical implications,Indian journal of experimental biology,,https://www.semanticscholar.org/paper/Properties-of-biophotons-and-their-theoretical-Popp/cf230c111e6374974bd8e608ea1cc1936f6f25d8,W146728166,1,title~100,in-universe
I246T68A,journalArticle,2013,Persinger,Persinger; Dotta; Saroka,Bright light transmits through the brain: Measurement of photon emissions and frequency-dependent modulation of spectral electroencephalographic power,World Journal of Neuroscience,10.4236/wjns.2013.31002,https://www.scirp.org/journal/paperinformation?paperid=27901,W2083522930,1,doi,harvested
NK69WAKF,journalArticle,2011,Dotta,Dotta; Persinger,Increased Photon Emissions from the Right But Not the Left Hemisphere While Imagining White Light in the Dark: The Potential Connection Between Consciousness and Cerebral Light,Journal of Consciousness Exploration & Research,,https://www.semanticscholar.org/paper/Increased-Photon-Emissions-from-the-Right-But-Not-Dotta-Persinger/8ea89a9877c4acd58e0110845486ffd1f0479211,W2147507997,1,title~100,in-universe
NDK93V49,journalArticle,2012,Dotta,Dotta; Saroka; Persinger,Increased photon emission from the head while imagining light in the dark is correlated with changes in electroencephalographic power: Support for Bókkon's biophoton hypothesis,Neuroscience Letters,10.1016/j.neulet.2012.02.021,https://linkinghub.elsevier.com/retrieve/pii/S030439401200208X,W2138303176,1,doi,in-universe
F5R4V3I6,journalArticle,2025,Hoh Kam,Hoh Kam; Clément; Cantat-Moltrecht; Billères; Mitrofanis,Red and near-infrared light treatment can change the intensity of biophoton emissions in cell culture,Scientific Reports,10.1038/s41598-025-22344-0,https://www.nature.com/articles/s41598-025-22344-0,W4415884611,1,doi,harvested
S48BBYDB,journalArticle,1993,Risk,Risk; Kozlovsky; Lau; Bona; Jaeckel; Webb,Biophoton emissions from cell cultures: biochemical evidence for the plasma membrane as the primary source,Compact Blue-Green Lasers,,https://www.semanticscholar.org/paper/Biophoton-emissions-from-cell-cultures%3A-biochemical-Dotta-Buckner/6970d294eec9df48439b24a5bf430d13cddc4c5d,W125667092,0,title~100,in-universe
MD5BUZ6U,journalArticle,2012,Dotta,Dotta; Persinger,"“Doubling” of local photon emissions when two simultaneous, spatially-separated, chemiluminescent reactions share the same magnetic field configurations",Journal of Biophysical Chemistry,10.4236/jbpc.2012.31009,http://www.scirp.org/journal/doi.aspx?DOI=10.4236/jbpc.2012.31009,W1995317175,1,doi,harvested
2Y4956Q8,journalArticle,2025,Casey,Casey; DiBerardino; Bonzanni; Rouleau; Murugan,Exploring ultraweak photon emissions as optical markers of brain activity,iScience,10.1016/j.isci.2025.112019,https://pmc.ncbi.nlm.nih.gov/articles/PMC11927727/,W4407397928,1,doi,harvested
T7JN5AZK,bookSection,2003,Popp,Popp; Beloussov; Popp,"Biophotons — Background, Experimental Results, Theoretical Approach and Applications",Integrative Biophysics,10.1007/978-94-017-0373-4_12,https://link.springer.com/10.1007/978-94-017-0373-4_12,W2199084276,1,doi,in-universe
3MV8J8N3,journalArticle,1984,Popp,Popp; Nagl; Li; Scholz; Weingärtner; Wolf,Biophoton emission,Cell Biophysics,10.1007/bf02788579,https://doi.org/10.1007/BF02788579,W2332190922,1,doi,in-universe
T4AWE5PS,journalArticle,2017,Saraiva,Saraiva; Júnior; De Melo E Souza; Pena; Monken; Santos; Koiller; Jorio,Photonic Counterparts of Cooper Pairs,Physical Review Letters,10.1103/physrevlett.119.193603,https://link.aps.org/doi/10.1103/PhysRevLett.119.193603,,0,,harvested
9BRWG6IC,journalArticle,1979,Cercek,Cercek; Cercek; Laboratories; Hospital,INVOLVEMENT OF MITOCHONDRIA IN CHANGES OF FLUORESCEIN EXCITATION AND EMISSION POLARIZATION SPECTRA IN LIVING CELLS,,,,W2030441597,1,title~98,harvested
T6CF2R9X,journalArticle,2016,Shi,Shi; Galvez; Alfano,Photon Entanglement Through Brain Tissue,Scientific Reports,10.1038/srep37714,https://www.nature.com/articles/srep37714,W2560914789,1,doi,harvested
2HLVJFW3,journalArticle,2005,Ntziachristos,Ntziachristos; Ripoll; Wang; Weissleder,Looking and listening to light: the evolution of whole-body photonic imaging,Nature Biotechnology,10.1038/nbt1074,https://www.nature.com/articles/nbt1074,W2017062848,1,doi,in-universe
IFJVM74T,journalArticle,2018,Naumova,Naumova; Naumova; Isaev; Volodyaev,Historical review of early researches on mitogenetic radiation: from discovery to cancer diagnostics,Journal of Biomedical Photonics & Engineering,10.18287/jbpe18.04.040201,http://jbpe.ssau.ru/index.php/JBPE/article/view/3308,W2979283984,1,doi,harvested
L6HSA6CY,journalArticle,2015,Maghrebi,Maghrebi; Gullans; Bienias; Choi; Martin; Firstenberg; Lukin; Büchler; Gorshkov,Coulomb bound states of strongly interacting photons,Physical Review Letters,10.1103/physrevlett.115.123601,http://arxiv.org/abs/1505.03859,W1009399813,1,doi,harvested
5KIJMNHQ,journalArticle,2007,Livet,Livet; Weissman; Kang; Draft; Lu; Bennis; Sanes; Lichtman,Transgenic strategies for combinatorial expression of fluorescent proteins in the nervous system,Nature,10.1038/nature06293,https://www.nature.com/articles/nature06293,,0,,new-to-universe
7PC8Z5S8,journalArticle,2018,Giorgi,Giorgi; Marchi; Pinton,"The machineries, regulation and cellular functions of mitochondrial calcium",Nature Reviews Molecular Cell Biology,10.1038/s41580-018-0052-8,https://www.nature.com/articles/s41580-018-0052-8,,0,,new-to-universe
4HS2G76Z,journalArticle,2014,Sanders,Sanders,Speculations about Bystander and Biophotons,Dose-Response,10.2203/dose-response.14-002.sanders,https://journals.sagepub.com/doi/10.2203/dose-response.14-002.Sanders,W1894462531,0,doi,harvested
DXL2ZNH4,journalArticle,2010,Bass,Bass; Takahashi,Circadian Integration of Metabolism and Energetics,Science,10.1126/science.1195027,https://www.science.org/doi/10.1126/science.1195027,,0,,new-to-universe
E7TXPNDR,journalArticle,2008,Bajpai,Bajpai,Quantum nature of photon signal emitted by Xanthoria parietina and its implications to biology,INDIAN J EXP BIOL,,,W43326842,0,title~100,in-universe
AIWM6N73,journalArticle,2021,Ikeya,Ikeya; Woodward,Cellular autofluorescence is magnetic field sensitive,Proceedings of the National Academy of Sciences,10.1073/pnas.2018043118,https://pnas.org/doi/full/10.1073/pnas.2018043118,W3119926863,0,doi,harvested
3YBHJJUP,journalArticle,2017,He,He; Van Wijk; Van Wietmarschen; Wang; Sun; Koval; Van Wijk; Hankemeier; Van Der Greef,Spontaneous ultra-weak photon emission in correlation to inflammatory metabolism and oxidative stress in a mouse model of collagen-induced arthritis,Journal of Photochemistry and Photobiology B: Biology,10.1016/j.jphotobiol.2016.12.036,https://linkinghub.elsevier.com/retrieve/pii/S1011134416307539,W2585964112,0,doi,in-universe
8LDPBED4,journalArticle,2019,Duan,Duan; Navarro-Dorado; Clark; Kinnear; Meinke; Schirmer; Evans,The cell-wide web coordinates cellular processes by directing site-specific Ca2+ flux across cytoplasmic nanocourses,Nature Communications,10.1038/s41467-019-10055-w,https://www.nature.com/articles/s41467-019-10055-w,,0,,harvested
AW2UBQKK,journalArticle,,Trushin,Trushin,Distant Non-chemical Communication in Various Biological Systems,,,,W2397160449,0,title~100,in-universe
FEM9YZ75,journalArticle,2013,Kučera,Kučera; Cifra,Cell-to-cell signaling through light: just a ghost of chance?,Cell Communication and Signaling,10.1186/1478-811x-11-87,http://biosignaling.biomedcentral.com/articles/10.1186/1478-811X-11-87,W2095038636,0,doi,harvested
LL5H3GV7,journalArticle,2002,Walenta,Walenta; Schroeder; Mueller-Klieser,Metabolic mapping with bioluminescence: basic and clinical relevance,Biomolecular Engineering,10.1016/s1389-0344(01)00107-1,https://linkinghub.elsevier.com/retrieve/pii/S1389034401001071,,0,,new-to-universe
JE2KICPY,journalArticle,2016,Kumar,Kumar; Boone; Tuszyński; Barclay; Simon,Possible existence of optical communication channels in the brain,Scientific Reports,10.1038/srep36508,https://www.nature.com/articles/srep36508,W2499288807,0,doi,harvested
KPBWVF2R,journalArticle,2015,Krenn,Krenn; Handsteiner; Fink; Fickler; Zeilinger,Twisted photon entanglement through turbulent air across Vienna,Proceedings of the National Academy of Sciences,10.1073/pnas.1517574112,https://pnas.org/doi/full/10.1073/pnas.1517574112,,0,,new-to-universe
