zotero_key,item_type,year,first_author,authors,title,journal,doi,url,work_id,is_seed,match,status
RMIYA3E9,journalArticle,1994,Khan,Khan; Kasha,Singlet molecular oxygen in the Haber-Weiss reaction,Proceedings of the National Academy of Sciences,10.1073/pnas.91.26.12365,https://doi.org/10.1073/pnas.91.26.12365,,0,,new-to-universe
493TV4QV,journalArticle,2014,Mano,Mano; Prado; Massari; Ronsein; Martinez; Miyamoto; Cadet; Sies; Medeiros; Bechara; Di Mascio,Excited singlet molecular O2 (1Δg) is generated enzymatically from excited carbonyls in the dark,Scientific Reports,10.1038/srep05938,http://www.nature.com/articles/srep05938,W2048493057,0,doi,harvested
RNDKJWWY,journalArticle,1994,Di Mascio,Di Mascio; Bechara; Medeiros; Briviba; Sies,Singlet molecular oxygen production in the reaction of peroxynitrite with hydrogen peroxide,FEBS Letters,10.1016/0014-5793(94)01224-5,https://febs.onlinelibrary.wiley.com/doi/abs/10.1016/0014-5793%2894%2901224-5,W1970359533,0,doi,in-universe
JJ9UFVYW,journalArticle,2022,Taenzer,Taenzer; Grabb; Kapit; Pardis; Wankel; Hansel,Development of a Deep-Sea Submersible Chemiluminescent Analyzer for Sensing Short-Lived Reactive Chemicals,Sensors,10.3390/s22051709,https://doi.org/10.3390/s22051709,,0,,new-to-universe
ULGSXZXF,journalArticle,1999,Tapley,Tapley; Buettner; Shick,"Free Radicals and Chemiluminescence as Products of the Spontaneous Oxidation of Sulfide in Seawater, and Their Biological Implications",The Biological Bulletin,10.2307/1543166,https://doi.org/10.2307/1543166,,0,,new-to-universe
KGGFKGU6,conferencePaper,2001,TAPLEY,TAPLEY,CHEMILUMINESCENCE AS A PRODUCT OF THE SPONTANEOUS OXIDATION OF SULFIDE IN SEAWATER,,10.1142/9789812811158_0060,https://doi.org/10.1142/9789812811158_0060,,0,,new-to-universe
UWMJUILV,journalArticle,2023,van Erk,van Erk; Bourceau; Moncada; Basu; Hansel; de Beer,Reactive oxygen species affect the potential for mineralization processes in permeable intertidal flats,Nature Communications,10.1038/s41467-023-35818-4,https://www.nature.com/articles/s41467-023-35818-4,,0,,harvested
IXQAJPAN,journalArticle,2022,Li,Li; Wang; Xu,Research on Micro-Quantitative Detection Technology of Simulated Waterbody COD Based on the Ozone Chemiluminescence Method,Water,10.3390/w14030328,https://doi.org/10.3390/w14030328,,0,,new-to-universe
7UPXRHNN,journalArticle,2001,Seisenberger,Seisenberger; Ried; Endreß; Büning; Hallek; Bräuchle,Real-Time Single-Molecule Imaging of the Infection Pathway of an Adeno-Associated Virus,Science,10.1126/science.1064103,https://doi.org/10.1126/science.1064103,,0,,new-to-universe
U5RQTIX9,journalArticle,1996,Mottola,Mottola; Pérez-Bendito,Kinetic Determinations and Some Kinetic Aspects of Analytical Chemistry,Analytical Chemistry,10.1021/a1960002k,https://doi.org/10.1021/a1960002k,W2729486520,0,title~100,in-universe
5I6GZGE3,journalArticle,2005,Cacciari,Cacciari,Nomes de lugar: Confim,Revista de letras,10.1016/j.heliyon.2021.e07767,https://doi.org/10.1016/j.heliyon.2021.e07767,W3188676070,0,doi,harvested
FDTJRCLP,journalArticle,2021,Khaoua,Khaoua; Graciani; Kim; Amblard,Stochastic light concentration from 3D to 2D reveals ultraweak chemi- and bioluminescence,Scientific Reports,10.1038/s41598-021-88091-0,https://doi.org/10.1038/s41598-021-88091-0,W3161989600,0,doi,harvested
6MMTFAA5,journalArticle,2022,Cabello,Cabello; Bartoloni; Baader,An Update on General Chemiexcitation Mechanisms in Cyclic Organic Peroxide Decomposition and the Chemiluminescent Peroxyoxalate Reaction in Aqueous Media<sup>†</sup>,Photochemistry and Photobiology,10.1111/php.13673,https://doi.org/10.1111/php.13673,,0,,new-to-universe
5ER95ZJB,journalArticle,2013,Lin,Lin; Chen; Lin,Peroxide induced ultra-weak chemiluminescence and its application in analytical chemistry,The Analyst,10.1039/c3an00910f,http://xlink.rsc.org/?DOI=c3an00910f,W2098564061,0,doi,in-universe
8MHLMCYP,conferencePaper,2010,Voeikov,Voeikov,"Reactive oxygen species, water, photons and life.",,,http://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=18256538&AN=59414966&h=r1AWiZFTGR79tyzlFi3raREc71bfA2XwOW3xiBcJTO1ddlNpLpMMCN8h93e4EG667Pf%2FF8UdDv60fU1KI1%2BjxQ%3D%3D&crl=c,W2118133983,1,title~100,in-universe
WZJSTTCK,journalArticle,1989,Kurosaki,Kurosaki; Sato; Mizugaki,Extra‐weak chemiluminescence of drugs. VIII. Extra‐weak chemiluminescence arising from the amino‐carbonyl reaction,Journal of Bioluminescence and Chemiluminescence,10.1002/bio.1170030104,https://doi.org/10.1002/bio.1170030104,W2037610961,1,doi,in-universe
Q6NLTHH2,journalArticle,1999,Vogel,Vogel,Low level chemiluminescence from liquid culture media,Journal of Applied Microbiology,10.1046/j.1365-2672.1999.00784.x,https://doi.org/10.1046/j.1365-2672.1999.00784.x,W1999633758,1,doi,in-universe
IU5QRNRA,journalArticle,1998,V.L.Voeikov,V.L.Voeikov; Naletov,Nonenzymatic Amino Acid Glycation in Aqueous Solutions (Maillard Reaction): Critical Conditions for Initiation of Browning and Chemiluminescence Development,,,,,0,,new-to-universe
D3ENB6FJ,journalArticle,1996,Voeikov,Voeikov; Baskakov; Kafkalias; Naletov,Initiation of degenerate-branched chain reaction of glycine deamination with ultraweak UV irradiation or hydrogen peroxide,RUSSIAN JOURNAL OF BIOORGANIC CHEMISTRY C/C OF BIOORGANICHESKAIA KHIMIIA,,,W351875724,1,title~100,in-universe
KUUV3FGZ,journalArticle,1997,V.I.,V.I.; V.L.Voeikov,Chemiluminescence Development in Aqueous Solutions of Glycine and Glucose (Maillard Reaction): Evidence for Degenerate-Branched Chain Mechanism.,Eur. J. Chem. Clin. Biochem,,,,0,,new-to-universe
5IDUS9KJ,journalArticle,2000,Koldunov,Koldunov; Kononov; Voeikov,Oscillations of Photon Emission Accompanying the Oxidative Process in Aqueous Solutions of Glycin wi,"BiophOlollics IIl1d coherelll systellls, Proceedillgs of the 211d IlIIel'llatiollal Alexallder GII/witsch COllferellce alld Additional COlllriiJutions",,,,0,,new-to-universe
BMSXSRFS,bookSection,1998,Voeikov,Voeikov; Naletov,Weak photon emission of non-linear chemical reactions of amino acids and sugars in aqueous solutions,Biophotons,10.1007/978-94-017-0928-6_8,,W41280026,1,doi,in-universe
QBK594EV,conferencePaper,1998,Voeikov,Voeikov; Naletov,Chemiluminescence development after initiation of Maillard reaction in aqueous solutions of glycine and glucose: nonlinearity of the process and cooperative properties of the reaction system,,10.1117/12.311888,http://proceedings.spiedigitallibrary.org/proceeding.aspx?articleid=933715,W2030545657,1,doi,in-universe
ZR5KNRNM,journalArticle,1978,Slawinski,Slawinski; Puzyna; Slawinska,CHEMILUMINESCENCE IN THE PHOTOOXIDATION OF HUMIC ACIDS*,Photochemistry and Photobiology,10.1111/j.1751-1097.1978.tb06932.x,https://doi.org/10.1111/j.1751-1097.1978.tb06932.x,W1964855530,1,doi,in-universe
R9QIYQDL,journalArticle,1994,HU,HU; KITANO; TAKENAKA; BANDOW; MAEDA; ZHANG,Special Articles: Environmental Sciences and Analytical Chemistry. Sensitive determination of humic acid in natural water by chemiluminescence-flow injection method.,BUNSEKI KAGAKU,10.2116/bunsekikagaku.43.1077,https://doi.org/10.2116/bunsekikagaku.43.1077,W2326256381,1,doi,harvested
MM8RDF7B,journalArticle,2005,Tian,Tian; Jun Song; Hua,Flow Injection Determination of Humic Acid with Chemiluminescence Detection,Analytical Letters,10.1080/00032710500318148,https://doi.org/10.1080/00032710500318148,W2117773569,1,doi,in-universe
NATAI882,journalArticle,2021,DANG,DANG; SHIBA; KOSUGI; OKUNAGA; MATSUI; FUJII; TAKENAKA,Simultaneous Determination of Ammonia and Humic Acid in Natural Water by Chemiluminescence with Hypobromites,Journal of Environmental Chemistry,10.5985/jec.31.91,https://doi.org/10.5985/jec.31.91,W3174431523,1,doi,harvested
YCH259C7,conferencePaper,2011,Bin-bin Zhang,Bin-bin Zhang; Sheng-ke Yang; Ying Wu; Feng Ding; Jing Chen,Measured humic acid in water by the potassium permanganate oxidation flow-injection chemiluminescence,,10.1109/iswrep.2011.5893681,https://doi.org/10.1109/iswrep.2011.5893681,W1991714625,1,doi,in-universe
J7688I2J,journalArticle,2004,Gorączko,Gorączko; slawiński,SECONDARY ULTRAWEAK LUMINESCENCE FROM HUMIC ACIDS INDUCED BY γ-RADIATION,"Nonlinearity in Biology, Toxicology, and Medicine",10.1080/15401420490507468,http://dos.sagepub.com/lookup/doi/10.1080/15401420490507468,W1975696343,1,doi,harvested
DPJ5ENPA,journalArticle,2008,Liang,Liang; Zhao; Zhang; Lin,Experimental Studies on the Chemiluminescence Reaction Mechanism of Carbonate/Bicarbonate and Hydrogen Peroxide in the Presence of Cobalt(II),The Journal of Physical Chemistry A,10.1021/jp0761822,https://doi.org/10.1021/jp0761822,W1983540123,1,doi,in-universe
3L6CEI2V,journalArticle,2018,Grasso,Grasso; Musumeci; Gulino; Scordino,Exploring the behaviour of water in glycerol solutions by using delayed luminescence,PLoS ONE,10.1371/journal.pone.0191861,https://doi.org/10.1371/journal.pone.0191861,W29377914,1,doi,harvested
I7XB7NHN,journalArticle,2010,Voeikov,Voeikov; Ming Ha; Mukhitova; Vilenskaya; Malishenko; Bogachuk,Activated bicarbonate solutions as models of confined ontic open system and prototypes of living respiring systems,International Journal of Design & Nature and Ecodynamics,10.2495/dne-v5-n1-30-38,https://doi.org/10.2495/dne-v5-n1-30-38,W2064648831,1,doi,harvested
WC66U82M,journalArticle,2010,Voeikov,Voeikov; Ha; Vilenskaya; Malishenko; Bouravleva,I Sistemi Acquosi Di Bicarbonato Confermano Lo Stato Di Non Equilibrio E Mostrano Sensibilità Agli E,LA MEDICINA BIOLOGICA,,,,0,,new-to-universe
SXPM5NRM,journalArticle,2012,Voeikov,Voeikov; Vilenskaya; Ha; Malyshenko; Buravleva; Yablonskaya; Timofeev,The stable nonequilibrium state of bicarbonate aqueous systems,Russian Journal of Physical Chemistry A,10.1134/s003602441209018x,http://link.springer.com/10.1134/S003602441209018X,W1964318044,1,doi,in-universe
2D9GCXLF,conferencePaper,2004,Voeikov,Voeikov,Respiration of Water,,,,,0,,new-to-universe
9QTK94WF,journalArticle,1999,Chou,Chou; Lee; Wel; Wu; Shek; Kwong,Direct Spectroscopic Evidence for 1Δ<sub>g</sub>O<sub>2</sub> Production from the Photolysis of Vanadium(V)‐Peroxo Complexes in Aqueous Solution,Photochemistry and Photobiology,10.1111/j.1751-1097.1999.tb08278.x,https://doi.org/10.1111/j.1751-1097.1999.tb08278.x,W1985552989,1,doi,in-universe
69JVBD6S,journalArticle,2023,Astashev,Astashev; Serov; Sarimov; Gudkov,Influence of the Vibration Impact Mode on the Spontaneous Chemiluminescence of Aqueous Protein Solutions,Physics of Wave Phenomena,10.3103/s1541308x23030020,https://doi.org/10.3103/s1541308x23030020,W4382799213,1,doi,in-universe
HZJYHUAX,journalArticle,2005,Francis,Francis; Barnett; Smith; Spizzirri; Wang; Krausz,Near‐infrared chemiluminescence from the oxidation of ammonia in aqueous alkaline solution,Luminescence,10.1002/bio.870,https://doi.org/10.1002/bio.870,W1995913186,1,doi,in-universe
EJQZ9EFX,journalArticle,2018,Wanjala,Wanjala; Onyango; Abuga; Onyango; Makayoto,Evidence for the Formation of Ozone (or Ozone-Like Oxidants) by the Reaction of Singlet Oxygen with Amino Acids,Journal of Chemistry,10.1155/2018/6145180,https://doi.org/10.1155/2018/6145180,W2889659980,1,doi,in-universe
TXM2C9L8,journalArticle,1988,Kobayashi,Kobayashi; Asai; Inaba,Highly Sensitive Detection of Ultraweak Photon Emission from Human Breath and Sputum,THE JOURNAL OF JAPAN SOCIETY FOR LASER SURGERY AND MEDICINE,10.2530/jslsm1980.9.3_527,https://doi.org/10.2530/jslsm1980.9.3_527,W2318097307,1,doi,harvested
